locations,totalLevel2,totalUrbanLevel2,totalLevel3,totalUrbanLevel3
wikidataId/Q1858,30,13,579,196
wikidataId/Q27566,9,2,136,31
wikidataId/Q33381,8,2,126,32
wikidataId/Q33396,13,6,177,79
wikidataId/Q36354,12,3,235,57
wikidataId/Q72818,15,7,217,76
wikidataId/Q36485,10,2,161,22
wikidataId/Q36497,8,1,260,19
wikidataId/Q36413,6,2,109,26
wikidataId/Q33682,10,1,226,38
wikidataId/Q33929,8,2,143,24
wikidataId/Q36685,11,1,193,18
wikidataId/Q36865,10,1,161,22
wikidataId/Q36404,8,1,108,12
wikidataId/Q33389,7,1,138,14
wikidataId/Q36446,9,2,152,25
wikidataId/Q26019,9,2,173,23
wikidataId/Q26575,9,3,178,41
wikidataId/Q33383,11,1,200,19
wikidataId/Q36367,10,1,209,25
wikidataId/Q36610,13,2,225,28
wikidataId/Q36955,10,2,129,14
wikidataId/Q36409,8,1,106,12
wikidataId/Q33379,12,1,204,16
wikidataId/Q36015,10,1,151,20
wikidataId/Q36955,27,4,559,78
wikidataId/Q36587,21,4,460,49
wikidataId/Q33351,13,3,216,34
wikidataId/Q23533,8,2,151,23
wikidataId/Q36579,10,2,125,24
wikidataId/Q36399,9,3,145,47
wikidataId/Q25282,8,6,56,45
wikidataId/Q33356,18,3,241,38
wikidataId/Q33304,13,2,173,25
wikidataId/Q36693,11,3,159,42
wikidataId/Q36725,9,3,110,27
wikidataId/Q33369,9,3,139,41
wikidataId/Q36903,7,1,65,18
wikidataId/Q36869,10,2,124,31
wikidataId/Q36315,10,1,102,17
wikidataId/Q36662,17,3,220,38
wikidataId/Q36690,15,2,184,32
wikidataId/Q36723,8,1,71,11
wikidataId/Q36721,12,2,142,31
wikidataId/Q36672,11,3,111,21
wikidataId/Q130391,9,3,94,23
wikidataId/Q36866,9,5,91,49
wikidataId/Q33271,11,2,170,48
wikidataId/Q36874,8,3,82,35
wikidataId/Q1854,24,19,322,264
wikidataId/Q26573,15,2,188,27
wikidataId/Q36666,11,3,172,29
wikidataId/Q33366,9,1,157,15
wikidataId/Q36615,9,2,106,21
wikidataId/Q7333405,8,2,107,20
wikidataId/Q36676,12,3,143,28
wikidataId/Q36592,11,3,156,37
wikidataId/Q36576,15,2,145,28
wikidataId/Q216075,9,5,83,47
wikidataId/Q36320,8,3,75,24
wikidataId/Q33272,11,3,109,29
wikidataId/Q36658,7,2,64,15
wikidataId/Q33354,9,1,101,19
