locations,totalLevel2,totalUrbanLevel2,totalLevel3,totalUrbanLevel3
wikidataId/Q1858,30,13,584,198
wikidataId/Q27566,9,2,137,25
wikidataId/Q33381,8,2,126,29
wikidataId/Q33396,14,6,186,75
wikidataId/Q36354,12,2,265,38
wikidataId/Q72818,15,7,223,80
wikidataId/Q36485,10,1,161,16
wikidataId/Q36497,8,1,286,19
wikidataId/Q36413,6,1,116,18
wikidataId/Q33682,10,1,229,35
wikidataId/Q33929,8,2,145,24
wikidataId/Q36685,11,1,195,18
wikidataId/Q36865,13,1,199,22
wikidataId/Q36404,8,1,122,12
wikidataId/Q33389,7,1,141,12
wikidataId/Q36446,9,1,164,21
wikidataId/Q26019,9,2,180,23
wikidataId/Q26575,9,3,180,40
wikidataId/Q33383,11,1,226,19
wikidataId/Q36367,10,1,230,26
wikidataId/Q36610,13,2,277,29
wikidataId/Q36955,10,2,130,14
wikidataId/Q36409,8,1,108,12
wikidataId/Q33379,12,1,204,16
wikidataId/Q36015,11,1,210,19
wikidataId/Q36955,27,3,635,58
wikidataId/Q36587,21,4,480,49
wikidataId/Q33351,13,3,262,32
wikidataId/Q23533,8,2,159,23
wikidataId/Q36579,10,2,141,24
wikidataId/Q36399,9,3,152,47
wikidataId/Q25282,8,6,56,45
wikidataId/Q33356,18,3,244,37
wikidataId/Q33304,14,1,184,18
wikidataId/Q36693,11,2,159,33
wikidataId/Q36725,9,2,112,24
wikidataId/Q33369,9,3,140,41
wikidataId/Q36903,7,1,65,18
wikidataId/Q36869,10,2,127,31
wikidataId/Q36315,10,1,102,16
wikidataId/Q36662,17,3,222,38
wikidataId/Q36690,15,2,184,32
wikidataId/Q36723,8,1,71,10
wikidataId/Q36721,12,2,147,30
wikidataId/Q36672,11,3,111,19
wikidataId/Q130391,9,1,95,15
wikidataId/Q36866,9,5,91,43
wikidataId/Q33271,11,2,171,35
wikidataId/Q36874,8,2,82,31
wikidataId/Q1854,24,19,322,264
wikidataId/Q26573,15,2,192,26
wikidataId/Q36666,11,3,173,29
wikidataId/Q33366,9,1,164,17
wikidataId/Q36615,9,2,106,21
wikidataId/Q7333405,8,2,109,15
wikidataId/Q36676,12,3,144,25
wikidataId/Q36592,11,3,156,37
wikidataId/Q36576,15,2,145,27
wikidataId/Q216075,9,5,85,49
wikidataId/Q36320,8,3,76,22
wikidataId/Q33272,11,3,109,29
wikidataId/Q36658,7,2,64,15
wikidataId/Q33354,9,1,101,19
