locations,TotalPopulation,FemalePopulation,MalePopulation,,UrbanPopulation,RuralPopulation
wikidataId/Q1858,7328.4,3736.1,3592.3,,3928.6,3399.8
wikidataId/Q27566,1066.0,541.8,524.2,,248.5,817.5
wikidataId/Q33381,1178.6,598.4,580.2,,343.1,835.5
wikidataId/Q33396,1224.6,610.9,613.7,,749.7,474.9
wikidataId/Q36354,1785.8,911.2,874.6,,448.8,1337.0
wikidataId/Q72818,1980.8,995.9,984.9,,925.9,1054.9
wikidataId/Q36485,1170.2,595.2,575.0,,152.0,1018.2
wikidataId/Q36497,1790.0,924.8,865.2,,187.9,1602.1
wikidataId/Q36413,803.7,406.3,397.4,,125.8,677.9
wikidataId/Q33682,1852.6,944.6,908.0,,338.7,1513.9
wikidataId/Q33929,953.1,469.4,483.7,,196.3,756.8
wikidataId/Q36685,816.1,405.1,411.0,,122.2,693.9
wikidataId/Q36865,529.8,267.2,262.6,,122.8,407.0
wikidataId/Q36404,319.0,162.0,157.0,,59.9,259.1
wikidataId/Q33389,766.9,389.7,377.2,,104.5,662.4
wikidataId/Q36446,684.3,338.5,345.8,,157.0,527.3
wikidataId/Q26019,800.1,400.4,399.7,,163.1,637.0
wikidataId/Q26575,1227.4,624.7,602.7,,421.1,806.3
wikidataId/Q33383,768.7,383.5,385.2,,151.9,616.8
wikidataId/Q36367,1657.6,834.1,823.5,,188.8,1468.8
wikidataId/Q36610,1381.7,700.2,681.5,,258.6,1123.1
wikidataId/Q36955,557.4,278.7,278.7,,84.0,473.4
wikidataId/Q36409,436.0,220.8,215.2,,75.7,360.3
wikidataId/Q33379,1208.0,608.1,599.9,,164.8,1043.2
wikidataId/Q36015,831.3,418.7,412.6,,120.8,710.5
wikidataId/Q36955,3528.3,1770.0,1758.3,,602.4,2925.9
wikidataId/Q36587,3105.5,1553.0,1552.5,,467.4,2638.1
wikidataId/Q33351,1266.7,644.2,622.5,,230.2,1036.5
wikidataId/Q23533,877.7,438.4,439.3,,172.4,705.3
wikidataId/Q36579,623.5,317.5,306.0,,184.9,438.6
wikidataId/Q36399,1149.8,578.1,571.7,,559.7,590.1
wikidataId/Q25282,1046.2,530.8,515.4,,915.0,131.2
wikidataId/Q33356,1487.7,760.1,727.6,,359.4,1128.3
wikidataId/Q33304,1251.5,636.7,614.8,,220.7,1030.8
wikidataId/Q36693,1524.6,779.8,744.8,,473.9,1050.7
wikidataId/Q36725,899.4,449.6,449.8,,261.4,638.0
wikidataId/Q33369,1213.8,616.6,597.2,,546.4,667.4
wikidataId/Q36903,601.4,298.1,303.3,,217.7,383.7
wikidataId/Q36869,1222.7,610.7,612.0,,480.6,742.1
wikidataId/Q36315,507.8,237.2,270.6,,180.7,327.1
wikidataId/Q36662,1417.3,752.2,665.1,,423.9,993.4
wikidataId/Q36690,1874.5,931.2,943.3,,457.0,1417.5
wikidataId/Q36723,605.4,299.2,306.2,,92.1,513.3
wikidataId/Q36721,1288.2,639.0,649.2,,502.3,785.9
wikidataId/Q36672,956.4,486.8,469.6,,229.2,727.2
wikidataId/Q130391,1118.8,559.1,559.7,,249.7,869.1
wikidataId/Q36866,1995.8,1032.1,963.7,,1527.1,468.7
wikidataId/Q33271,2963.8,1526.8,1437.0,,1037.9,1925.9
wikidataId/Q36874,1092.0,545.5,546.5,,561.6,530.4
wikidataId/Q1854,8297.5,4325.3,3972.2,,6741.2,1556.3
wikidataId/Q26573,1490.6,750.3,740.3,,268.7,1221.9
wikidataId/Q36666,1740.2,886.7,853.5,,269.8,1470.4
wikidataId/Q33366,1265.2,643.6,621.6,,133.1,1132.1
wikidataId/Q36615,1040.5,531.8,508.7,,186.3,854.2
wikidataId/Q7333405,1048.6,531.8,516.8,,177.5,871.1
wikidataId/Q36676,1687.3,847.1,840.2,,299.8,1387.5
wikidataId/Q36592,2159.9,1090.1,1069.8,,664.1,1495.8
wikidataId/Q36576,1776.7,886.5,890.2,,506.3,1270.4
wikidataId/Q216075,1257.9,631.3,626.6,,841.5,416.4
wikidataId/Q36320,772.5,394.2,378.3,,191.4,581.1
wikidataId/Q33272,1312.5,661.5,651.0,,401.6,910.9
wikidataId/Q36658,886.2,440.3,445.9,,233.6,652.6
wikidataId/Q33354,1222.6,610.0,612.6,,277.0,945.6
