locations,TotalPopulation,FemalePopulation,MalePopulation,UrbanPopulation,RuralPopulation
wikidataId/Q1858,8093.9,4081.2,4012.7,4000.3,4093.6
wikidataId/Q27566,1154.8,579.4,575.4,295.2,859.6
wikidataId/Q33381,1378.6,697.6,681.0,380.9,997.7
wikidataId/Q33396,1324.8,651.1,673.7,853.7,471.1
wikidataId/Q36354,1896.9,954.2,942.7,594.2,1302.7
wikidataId/Q72818,2033.3,1023.1,1010.2,926.9,1106.4
wikidataId/Q36485,1255.8,627.1,628.7,207.3,1048.5
wikidataId/Q36497,1862.2,955.7,906.5,197.0,1665.2
wikidataId/Q36413,854.5,433.8,420.7,143.3,711.2
wikidataId/Q33682,1780.9,908.4,872.5,323.7,1457.2
wikidataId/Q33929,984.5,494.1,490.4,207.8,776.7
wikidataId/Q36685,858.1,424.5,433.6,137.2,720.9
wikidataId/Q36865,530.9,264.9,266.0,124.5,406.4
wikidataId/Q36404,314.4,154.1,160.3,65.6,248.8
wikidataId/Q33389,786.3,390.3,396.0,108.6,677.7
wikidataId/Q36446,733.3,360.4,372.9,171.5,561.8
wikidataId/Q26019,823.0,409.0,414.0,163.3,659.7
wikidataId/Q26575,1290.9,659.9,631.0,413.9,877.0
wikidataId/Q33383,782.8,382.8,400.0,160.3,622.5
wikidataId/Q36367,1810.4,901.7,908.7,207.4,1603.0
wikidataId/Q36610,1466.4,737.1,729.3,269.4,1197.0
wikidataId/Q36955,601.7,296.6,305.1,86.6,515.1
wikidataId/Q36409,462.6,227.0,235.6,67.8,394.8
wikidataId/Q33379,1252.7,617.7,635.0,173.5,1079.2
wikidataId/Q36015,855.8,428.0,427.8,134.7,721.1
wikidataId/Q36955,3645.8,1826.5,1819.3,547.2,3098.6
wikidataId/Q36587,3337.2,1667.7,1669.5,490.5,2846.7
wikidataId/Q33351,1290.3,648.8,641.5,253.9,1036.4
wikidataId/Q23533,896.6,446.7,449.9,188.2,708.4
wikidataId/Q36579,633.4,319.4,314.0,196.4,437.0
wikidataId/Q36399,1129.5,570.5,559.0,563.4,566.1
wikidataId/Q25282,1141.1,578.7,562.4,994.6,146.5
wikidataId/Q33356,1497.5,760.9,736.6,379.6,1117.9
wikidataId/Q33304,1231.9,623.0,608.9,201.5,1030.4
wikidataId/Q36693,1487.8,755.1,732.7,476.8,1011.0
wikidataId/Q36725,873.2,433.9,439.3,251.0,622.2
wikidataId/Q33369,1232.8,619.4,613.4,521.3,711.5
wikidataId/Q36903,591.0,294.7,296.3,211.3,379.7
wikidataId/Q36869,1232.3,613.1,619.2,469.3,763.0
wikidataId/Q36315,543.4,270.4,273.0,173.7,369.7
wikidataId/Q36662,1520.2,758.4,761.8,440.3,1079.9
wikidataId/Q36690,1872.6,928.4,944.2,463.3,1409.3
wikidataId/Q36723,625.8,303.3,322.5,95.4,530.4
wikidataId/Q36721,1299.3,645.0,654.3,509.0,790.3
wikidataId/Q36672,997.8,494.8,503.0,238.5,759.3
wikidataId/Q130391,1171.7,586.2,585.5,208.3,963.4
wikidataId/Q36866,2456.3,1219.9,1236.4,1961.9,494.4
wikidataId/Q33271,3113.7,1551.5,1562.2,1371.8,1741.9
wikidataId/Q36874,1152.2,574.0,578.2,675.6,476.6
wikidataId/Q1854,9038.6,4633.4,4405.2,7161.5,1877.1
wikidataId/Q26573,1695.1,849.6,845.5,272.5,1422.6
wikidataId/Q36666,1766.3,899.4,866.9,247.3,1519.0
wikidataId/Q33366,1289.1,658.4,630.7,126.4,1162.7
wikidataId/Q36615,1009.3,512.4,496.9,174.1,835.2
wikidataId/Q7333405,1022.6,518.8,503.8,169.8,852.8
wikidataId/Q36676,1598.8,799.9,798.9,304.7,1294.1
wikidataId/Q36592,1907.4,960.3,947.1,602.6,1304.8
wikidataId/Q36576,1723.7,850.0,873.7,488.8,1234.9
wikidataId/Q216075,1236.0,623.0,613.0,861.3,374.7
wikidataId/Q36320,732.2,366.4,365.8,197.7,534.5
wikidataId/Q33272,1199.5,601.6,597.9,388.5,811.0
wikidataId/Q36658,908.2,453.7,454.5,252.3,655.9
wikidataId/Q33354,1194.3,589.4,604.9,271.7,922.6
