locations,Area,,PopulationDensity
wikidataId/Q1858,3358.6,8093.9,2410
wikidataId/Q27566,1235.9,1154.8,934
wikidataId/Q33381,822.7,1378.6,1676
wikidataId/Q33396,6178.2,1324.8,214
wikidataId/Q36354,1668.2,1896.9,1137
wikidataId/Q72818,1561.8,2033.3,1302
wikidataId/Q36485,930.2,1255.8,1350
wikidataId/Q36497,1586.4,1862.2,1174
wikidataId/Q36413,861.9,854.5,991
wikidataId/Q33682,1668.6,1780.9,1067
wikidataId/Q33929,1386.8,984.5,710
wikidataId/Q36685,7929.5,858.1,108
wikidataId/Q36865,6700.3,530.9,79
wikidataId/Q36404,4860.0,314.4,65
wikidataId/Q33389,5867.9,786.3,134
wikidataId/Q36446,6364.0,733.3,115
wikidataId/Q26019,6887.5,823.0,119
wikidataId/Q26575,3526.6,1290.9,366
wikidataId/Q33383,8310.1,782.8,94
wikidataId/Q36367,3895.6,1810.4,465
wikidataId/Q36610,3534.6,1466.4,415
wikidataId/Q36955,9541.3,601.7,63
wikidataId/Q36409,9068.8,462.6,51
wikidataId/Q33379,14123.5,1252.7,89
wikidataId/Q36015,4590.6,855.8,186
wikidataId/Q36955,11114.6,3645.8,328
wikidataId/Q36587,16481.4,3337.2,202
wikidataId/Q33351,5990.7,1290.3,215
wikidataId/Q23533,8000.0,896.6,112
wikidataId/Q36579,4621.7,633.4,137
wikidataId/Q36399,4902.4,1129.5,230
wikidataId/Q25282,1284.9,1141.1,888
wikidataId/Q33356,10574.7,1497.5,142
wikidataId/Q33304,5155.8,1231.9,239
wikidataId/Q36693,6066.2,1487.8,245
wikidataId/Q36725,5023.4,873.2,174
wikidataId/Q33369,5137.8,1232.8,240
wikidataId/Q36903,3355.3,591.0,176
wikidataId/Q36869,7943.9,1232.3,155
wikidataId/Q36315,9674.2,543.4,56
wikidataId/Q36662,15511.0,1520.2,98
wikidataId/Q36690,13030.5,1872.6,144
wikidataId/Q36723,6509.3,625.8,96
wikidataId/Q36721,9783.3,1299.3,133
wikidataId/Q36672,6876.8,997.8,145
wikidataId/Q130391,4041.3,1171.7,290
wikidataId/Q36866,2694.6,2456.3,912
wikidataId/Q33271,5863.6,3113.7,531
wikidataId/Q36874,1981.0,1152.2,582
wikidataId/Q1854,2061.4,9038.6,4385
wikidataId/Q26573,4494.9,1695.1,377
wikidataId/Q36666,2510.6,1766.3,704
wikidataId/Q33366,2394.8,1289.1,538
wikidataId/Q36615,2358.3,1009.3,428
wikidataId/Q7333405,1525.7,1022.6,670
wikidataId/Q36676,3383.8,1598.8,472
wikidataId/Q36592,3536.7,1907.4,539
wikidataId/Q36576,6348.8,1723.7,272
wikidataId/Q216075,1439.0,1236.0,859
wikidataId/Q36320,1621.7,732.2,451
wikidataId/Q33272,3311.9,1199.5,362
wikidataId/Q36658,2669.0,908.2,340
wikidataId/Q33354,5221.2,1194.3,229
